15/12/2022 14:03:57:658  INFO - Node Entry | session id:sess7358012 | ELibrary:Start | Framework | Start |  |  | 
15/12/2022 14:03:58:162  INFO - Node Entry | session id:sess7358012 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
15/12/2022 14:03:58:201  INFO - Start | session id:sess7358012 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
15/12/2022 14:03:58:202  INFO - In Progress | session id:sess7358012 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
15/12/2022 14:04:04:438  INFO - Node Entry | session id:sess7358012 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
15/12/2022 14:04:10:399  INFO - Node Entry | session id:sess7358012 | ELibrary:Exit | Framework | Exit |  |  | undefined
15/12/2022 14:04:10:405  INFO - End | session id:sess7358012 | ELibrary:Exit | CallEnd | Call End here |  |  | undefined
15/12/2022 14:04:10:405  INFO - Application Exit | session id:sess7358012 | ELibrary:Exit | Framework | Application Exiting |  |  | undefined
15/12/2022 14:13:11:132  INFO - Node Entry | session id:sess7949327 | ELibrary:Start | Framework | Start |  |  | 
15/12/2022 14:13:11:332  INFO - Node Entry | session id:sess7949327 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
15/12/2022 14:13:11:340  INFO - Start | session id:sess7949327 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
15/12/2022 14:13:11:341  INFO - In Progress | session id:sess7949327 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
15/12/2022 14:13:16:811  INFO - Node Entry | session id:sess7949327 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
15/12/2022 14:13:22:669  INFO - Node Entry | session id:sess7949327 | ELibrary:tamilAnnounce | Framework | tamilAnnounce | langMenu___utterance | 1^0.949999988079071^0^0 | undefined
15/12/2022 14:13:24:773  INFO - Node Entry | session id:sess7949327 | ELibrary:langReturn | Framework | langReturn |  |  | undefined
15/12/2022 14:13:30:753  INFO - Node Entry | session id:sess7949327 | ELibrary:langMenu | Framework | langMenu | langReturn___utterance | 0^0.949999988079071^0^0 | undefined
15/12/2022 14:13:34:543  INFO - Node Entry | session id:sess7949327 | ELibrary:hindiAnnounce | Framework | hindiAnnounce | langMenu___utterance | 3^0.949999988079071^0^0 | undefined
15/12/2022 14:13:36:611  INFO - Node Entry | session id:sess7949327 | ELibrary:langReturn | Framework | langReturn |  |  | undefined
15/12/2022 14:13:45:790  INFO - Node Entry | session id:sess7949327 | ELibrary:userMenu | Framework | userMenu | langReturn___utterance | 1^0.949999988079071^0^0 | undefined
15/12/2022 14:13:53:349  INFO - Node Entry | session id:sess7949327 | ELibrary:newUserAnnounce | Framework | newUserAnnounce | userMenu___utterance | 1^0.949999988079071^0^0 | undefined
15/12/2022 14:13:55:600  INFO - Node Entry | session id:sess7949327 | ELibrary:newUserReturn | Framework | newUserReturn |  |  | undefined
15/12/2022 14:13:59:405  INFO - Node Entry | session id:sess7949327 | ELibrary:userMenu | Framework | userMenu | newUserReturn___utterance | 0^0.949999988079071^0^0 | undefined
15/12/2022 14:14:03:167  INFO - Node Entry | session id:sess7949327 | ELibrary:oldUserAnnounce | Framework | oldUserAnnounce | userMenu___utterance | 2^0.949999988079071^0^0 | undefined
15/12/2022 14:14:05:701  INFO - Node Entry | session id:sess7949327 | ELibrary:olduserReturn | Framework | olduserReturn |  |  | undefined
