16/12/2022 10:26:45:849  INFO - Node Entry | session id:sess4169206 | ELibrary:Start | Framework | Start |  |  | 
16/12/2022 10:26:46:269  INFO - Node Entry | session id:sess4169206 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
16/12/2022 10:26:46:283  INFO - Start | session id:sess4169206 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
16/12/2022 10:26:46:284  INFO - In Progress | session id:sess4169206 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
16/12/2022 10:26:51:861  INFO - Node Entry | session id:sess4169206 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
16/12/2022 10:26:51:987  INFO - Node Entry | session id:sess4169206 | ELibrary:hangupData | Framework | hangupData |  |  | undefined
16/12/2022 10:26:52:064  INFO - Node Entry | session id:sess4169206 | ELibrary:Exit | Framework | Exit |  |  | undefined
16/12/2022 10:26:52:067  INFO - End | session id:sess4169206 | ELibrary:Exit | CallEnd | Call End here |  |  | undefined
16/12/2022 10:26:52:067  INFO - Application Exit | session id:sess4169206 | ELibrary:Exit | Framework | Application Exiting |  |  | undefined
16/12/2022 10:28:23:303  INFO - Node Entry | session id:sess7808417 | ELibrary:Start | Framework | Start |  |  | 
16/12/2022 10:28:23:412  INFO - Node Entry | session id:sess7808417 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
16/12/2022 10:28:23:415  INFO - Start | session id:sess7808417 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
16/12/2022 10:28:23:415  INFO - In Progress | session id:sess7808417 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
16/12/2022 10:28:29:057  INFO - Node Entry | session id:sess7808417 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
16/12/2022 10:28:32:922  INFO - Node Entry | session id:sess7808417 | ELibrary:hangupData | Framework | hangupData |  |  | undefined
16/12/2022 10:28:32:985  INFO - Node Entry | session id:sess7808417 | ELibrary:Exit | Framework | Exit |  |  | undefined
16/12/2022 10:28:32:985  INFO - End | session id:sess7808417 | ELibrary:Exit | CallEnd | Call End here |  |  | undefined
16/12/2022 10:28:32:985  INFO - Application Exit | session id:sess7808417 | ELibrary:Exit | Framework | Application Exiting |  |  | undefined
16/12/2022 10:30:35:566  INFO - Node Entry | session id:sess1785313 | ELibrary:Start | Framework | Start |  |  | 
16/12/2022 10:30:35:670  INFO - Node Entry | session id:sess1785313 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
16/12/2022 10:30:35:675  INFO - Start | session id:sess1785313 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
16/12/2022 10:30:35:675  INFO - In Progress | session id:sess1785313 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
16/12/2022 10:30:41:120  INFO - Node Entry | session id:sess1785313 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
16/12/2022 10:30:51:425  INFO - Node Entry | session id:sess1785313 | ELibrary:hangupData | Framework | hangupData |  |  | undefined
16/12/2022 10:30:51:488  INFO - Node Entry | session id:sess1785313 | ELibrary:Exit | Framework | Exit |  |  | undefined
16/12/2022 10:30:51:488  INFO - End | session id:sess1785313 | ELibrary:Exit | CallEnd | Call End here |  |  | undefined
16/12/2022 10:30:51:488  INFO - Application Exit | session id:sess1785313 | ELibrary:Exit | Framework | Application Exiting |  |  | undefined
