10/01/2023 11:47:22:600  INFO - Node Entry | session id:sess848133 | ELibrary:Start | Framework | Start |  |  | 
10/01/2023 11:47:23:385  INFO - Node Entry | session id:sess848133 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
10/01/2023 11:47:23:405  INFO - Start | session id:sess848133 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
10/01/2023 11:47:23:405  INFO - In Progress | session id:sess848133 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
10/01/2023 11:47:29:707  INFO - Node Entry | session id:sess848133 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
10/01/2023 11:47:52:890  INFO - Node Entry | session id:sess848133 | ELibrary:Exist | Framework | Exist |  |  | undefined
10/01/2023 11:47:52:968  INFO - Node Entry | session id:sess848133 | ELibrary:ExistUser-Begin | Framework | ExistUser-Begin |  |  | undefined
10/01/2023 11:47:53:031  INFO - Node Entry | session id:sess848133 | ELibrary:ExistUser-userId | Framework | ExistUser-userId |  |  | undefined
10/01/2023 11:47:57:812  INFO - Node Entry | session id:sess848133 | ELibrary:ExistUser-userIdVerify | Framework | ExistUser-userIdVerify | userId___utterance | 111111^0.949999988079071^0^0 | undefined
10/01/2023 11:48:08:410  INFO - Node Entry | session id:sess848133 | ELibrary:ExistUser-userIdCheck | Framework | ExistUser-userIdCheck |  |  | undefined
10/01/2023 11:48:08:474  INFO - Node Entry | session id:sess848133 | ELibrary:ExistUser-password | Framework | ExistUser-password |  |  | undefined
10/01/2023 11:48:14:990  INFO - Node Entry | session id:sess848133 | ELibrary:ExistUser-passwordVerify | Framework | ExistUser-passwordVerify | password___utterance | 1111^0.949999988079071^0^0 | undefined
10/01/2023 11:48:15:905  INFO - Node Entry | session id:sess848133 | ELibrary:ExistUser-passCheck | Framework | ExistUser-passCheck |  |  | undefined
10/01/2023 11:48:15:966  INFO - Node Entry | session id:sess848133 | ELibrary:ExistUser-CartFlow | Framework | ExistUser-CartFlow |  |  | undefined
10/01/2023 11:48:16:029  INFO - Node Entry | session id:sess848133 | ELibrary:CartMenuFlow-Begin | Framework | CartMenuFlow-Begin |  |  | undefined
10/01/2023 11:48:16:092  INFO - Node Entry | session id:sess848133 | ELibrary:CartMenuFlow-CartMenu | Framework | CartMenuFlow-CartMenu |  |  | undefined
10/01/2023 11:50:48:399  INFO - Node Entry | session id:sess6234590 | ELibrary:Start | Framework | Start |  |  | 
10/01/2023 11:50:48:767  INFO - Node Entry | session id:sess6234590 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
10/01/2023 11:50:48:793  INFO - Start | session id:sess6234590 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
10/01/2023 11:50:48:794  INFO - In Progress | session id:sess6234590 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
10/01/2023 11:50:54:743  INFO - Node Entry | session id:sess6234590 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
10/01/2023 11:50:56:501  INFO - Node Entry | session id:sess6234590 | ELibrary:Exist | Framework | Exist |  |  | undefined
10/01/2023 11:50:56:564  INFO - Node Entry | session id:sess6234590 | ELibrary:ExistUser-Begin | Framework | ExistUser-Begin |  |  | undefined
10/01/2023 11:50:56:626  INFO - Node Entry | session id:sess6234590 | ELibrary:ExistUser-userId | Framework | ExistUser-userId |  |  | undefined
10/01/2023 11:51:01:071  INFO - Node Entry | session id:sess6234590 | ELibrary:ExistUser-userIdVerify | Framework | ExistUser-userIdVerify | userId___utterance | 111111^0.949999988079071^0^0 | undefined
10/01/2023 11:51:02:381  INFO - Node Entry | session id:sess6234590 | ELibrary:ExistUser-userIdCheck | Framework | ExistUser-userIdCheck |  |  | undefined
10/01/2023 11:51:02:444  INFO - Node Entry | session id:sess6234590 | ELibrary:ExistUser-password | Framework | ExistUser-password |  |  | undefined
10/01/2023 11:51:06:572  INFO - Node Entry | session id:sess6234590 | ELibrary:ExistUser-passwordVerify | Framework | ExistUser-passwordVerify | password___utterance | 1256^0.949999988079071^0^0 | undefined
10/01/2023 11:51:07:407  INFO - Node Entry | session id:sess6234590 | ELibrary:ExistUser-passCheck | Framework | ExistUser-passCheck |  |  | undefined
10/01/2023 11:51:07:468  INFO - Node Entry | session id:sess6234590 | ELibrary:ExistUser-CartFlow | Framework | ExistUser-CartFlow |  |  | undefined
10/01/2023 11:51:07:532  INFO - Node Entry | session id:sess6234590 | ELibrary:CartMenuFlow-Begin | Framework | CartMenuFlow-Begin |  |  | undefined
10/01/2023 11:51:07:671  INFO - Node Entry | session id:sess6234590 | ELibrary:CartMenuFlow-CartMenu | Framework | CartMenuFlow-CartMenu |  |  | undefined
10/01/2023 11:56:32:880  INFO - Node Entry | session id:sess5883731 | ELibrary:Start | Framework | Start |  |  | 
10/01/2023 11:56:33:168  INFO - Node Entry | session id:sess5883731 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
10/01/2023 11:56:33:218  INFO - Start | session id:sess5883731 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
10/01/2023 11:56:33:218  INFO - In Progress | session id:sess5883731 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
10/01/2023 11:56:39:044  INFO - Node Entry | session id:sess5883731 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
10/01/2023 11:56:43:347  INFO - Node Entry | session id:sess5883731 | ELibrary:Exist | Framework | Exist |  |  | undefined
10/01/2023 11:56:43:410  INFO - Node Entry | session id:sess5883731 | ELibrary:ExistUser-Begin | Framework | ExistUser-Begin |  |  | undefined
10/01/2023 11:56:43:474  INFO - Node Entry | session id:sess5883731 | ELibrary:ExistUser-userId | Framework | ExistUser-userId |  |  | undefined
10/01/2023 11:56:48:121  INFO - Node Entry | session id:sess5883731 | ELibrary:ExistUser-userIdVerify | Framework | ExistUser-userIdVerify | userId___utterance | 111123^0.949999988079071^0^0 | undefined
10/01/2023 11:56:49:805  INFO - Node Entry | session id:sess5883731 | ELibrary:ExistUser-userIdCheck | Framework | ExistUser-userIdCheck |  |  | undefined
10/01/2023 11:56:49:868  INFO - Node Entry | session id:sess5883731 | ELibrary:ExistUser-password | Framework | ExistUser-password |  |  | undefined
10/01/2023 12:03:56:600  INFO - Node Entry | session id:sess2623619 | ELibrary:Start | Framework | Start |  |  | 
10/01/2023 12:03:57:294  INFO - Node Entry | session id:sess2623619 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
10/01/2023 12:03:57:330  INFO - Start | session id:sess2623619 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
10/01/2023 12:03:57:330  INFO - In Progress | session id:sess2623619 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
10/01/2023 12:04:03:160  INFO - Node Entry | session id:sess2623619 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
10/01/2023 12:04:04:881  INFO - Node Entry | session id:sess2623619 | ELibrary:Exist | Framework | Exist |  |  | undefined
10/01/2023 12:04:04:991  INFO - Node Entry | session id:sess2623619 | ELibrary:ExistUser-Begin | Framework | ExistUser-Begin |  |  | undefined
10/01/2023 12:04:05:053  INFO - Node Entry | session id:sess2623619 | ELibrary:ExistUser-userId | Framework | ExistUser-userId |  |  | undefined
