14/02/2023 10:29:57:805  INFO - Node Entry | session id:sess7940369 | ElibraryFlows:Start | Framework | Start |  |  | 
14/02/2023 10:29:58:018  INFO - Node Entry | session id:sess7940369 | ElibraryFlows:Welcome | Framework | Welcome |  |  | undefined
14/02/2023 10:29:58:098  INFO - Start | session id:sess7940369 | ElibraryFlows:Welcome | wecome start | Welcome Announcement start |  |  | undefined
14/02/2023 10:29:58:099  INFO - In Progress | session id:sess7940369 | ElibraryFlows:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
14/02/2023 10:30:00:241  INFO - Node Entry | session id:sess7940369 | ElibraryFlows:langMenu | Framework | langMenu |  |  | undefined
14/02/2023 10:52:28:405  INFO - Node Entry | session id:sess3090433 | ElibraryFlows:Start | Framework | Start |  |  | 
14/02/2023 10:52:28:614  INFO - Node Entry | session id:sess3090433 | ElibraryFlows:Welcome | Framework | Welcome |  |  | undefined
14/02/2023 10:52:28:686  INFO - Start | session id:sess3090433 | ElibraryFlows:Welcome | wecome start | Welcome Announcement start |  |  | undefined
14/02/2023 10:52:28:686  INFO - In Progress | session id:sess3090433 | ElibraryFlows:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
14/02/2023 10:52:34:311  INFO - Node Entry | session id:sess3090433 | ElibraryFlows:langMenu | Framework | langMenu |  |  | undefined
14/02/2023 10:52:45:700  INFO - Node Entry | session id:sess3090433 | ElibraryFlows:LanguageAnnounce | Framework | LanguageAnnounce | langMenu___utterance | 1^0.949999988079071^0^0 | undefined
14/02/2023 10:52:45:778  INFO - Node Entry | session id:sess3090433 | ElibraryFlows:userMenu | Framework | userMenu |  |  | undefined
14/02/2023 10:52:57:681  INFO - Node Entry | session id:sess3090433 | ElibraryFlows:AgentTranfer | Framework | AgentTranfer | userMenu___utterance | 1^0.949999988079071^0^0 | undefined
14/02/2023 10:52:57:743  INFO - Node Entry | session id:sess3090433 | ElibraryFlows:agentTransfer-Begin | Framework | agentTransfer-Begin |  |  | undefined
14/02/2023 10:52:57:805  INFO - Node Entry | session id:sess3090433 | ElibraryFlows:agentTransfer-AgentTransferAnnounce | Framework | agentTransfer-AgentTransferAnnounce |  |  | undefined
14/02/2023 10:53:05:804  INFO - Node Entry | session id:sess3090433 | ElibraryFlows:hangupData | Framework | hangupData |  |  | undefined
