17/02/2023 14:29:00:342  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:Start | Framework | Start |  |  | 
17/02/2023 14:29:00:545  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:Welcome | Framework | Welcome |  |  | undefined
17/02/2023 14:29:06:079  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:langMenu | Framework | langMenu |  |  | undefined
17/02/2023 14:29:14:183  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:LanguageAnnounce | Framework | LanguageAnnounce | langMenu___utterance | 2^0.949999988079071^0^0 | undefined
17/02/2023 14:29:14:261  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:userMenu | Framework | userMenu |  |  | undefined
17/02/2023 14:29:27:732  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:Exist | Framework | Exist | userMenu___utterance | 2^0.949999988079071^0^2 | undefined
17/02/2023 14:29:27:809  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:ExistUser-Begin | Framework | ExistUser-Begin |  |  | undefined
17/02/2023 14:29:27:873  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:ExistUser-userId | Framework | ExistUser-userId |  |  | undefined
17/02/2023 14:29:31:845  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:ExistUser-password | Framework | ExistUser-password | userId___utterance | 100000^0.949999988079071^0^0 | undefined
17/02/2023 14:29:35:089  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:ExistUser-passwordVerify | Framework | ExistUser-passwordVerify | password___utterance | 1111^0.949999988079071^0^0 | undefined
17/02/2023 14:29:37:404  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:ExistUser-passCheck | Framework | ExistUser-passCheck |  |  | undefined
17/02/2023 14:29:37:466  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:ExistUser-APIcheckflow | Framework | ExistUser-APIcheckflow |  |  | undefined
17/02/2023 14:29:37:528  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:APICheckFlow-Begin | Framework | APICheckFlow-Begin |  |  | undefined
17/02/2023 14:29:37:590  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:APICheckFlow-ErrorAnnounce | Framework | APICheckFlow-ErrorAnnounce |  |  | undefined
17/02/2023 14:29:37:654  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:APICheckFlow-returnToDisconnect | Framework | APICheckFlow-returnToDisconnect |  |  | undefined
17/02/2023 14:29:37:717  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:ExistUser-ReturnToExit | Framework | ExistUser-ReturnToExit |  |  | undefined
17/02/2023 14:29:37:781  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:CallDisconnect | Framework | CallDisconnect |  |  | undefined
17/02/2023 14:29:41:352  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:ivrInfoData | Framework | ivrInfoData |  | ^^0^0 | undefined
17/02/2023 14:29:41:944  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:Exit | Framework | Exit |  |  | undefined
17/02/2023 14:29:41:946  INFO - End | session id:sess4200099 | ElibraryFlows:Exit | CallEnd | Call End here |  |  | undefined
17/02/2023 14:29:41:946  INFO - Application Exit | session id:sess4200099 | ElibraryFlows:Exit | Framework | Application Exiting |  |  | undefined
17/02/2023 14:33:03:289  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:Start | Framework | Start |  |  | 
17/02/2023 14:33:03:460  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:Welcome | Framework | Welcome |  |  | undefined
17/02/2023 14:33:08:891  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:langMenu | Framework | langMenu |  |  | undefined
17/02/2023 14:33:24:322  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:LanguageAnnounce | Framework | LanguageAnnounce | langMenu___utterance | 2^0.949999988079071^0^0 | undefined
17/02/2023 14:33:24:400  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:userMenu | Framework | userMenu |  |  | undefined
17/02/2023 14:33:26:309  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:Exist | Framework | Exist | userMenu___utterance | 2^0.949999988079071^0^0 | undefined
17/02/2023 14:33:26:372  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:ExistUser-Begin | Framework | ExistUser-Begin |  |  | undefined
17/02/2023 14:33:26:433  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:ExistUser-userId | Framework | ExistUser-userId |  |  | undefined
17/02/2023 14:33:30:561  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:ExistUser-password | Framework | ExistUser-password | userId___utterance | 111111^0.949999988079071^0^0 | undefined
17/02/2023 14:33:33:771  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:ExistUser-passwordVerify | Framework | ExistUser-passwordVerify | password___utterance | 1234^0.949999988079071^0^0 | undefined
17/02/2023 14:33:36:108  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:ExistUser-passCheck | Framework | ExistUser-passCheck |  |  | undefined
17/02/2023 14:33:36:170  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:ExistUser-APIcheckflow | Framework | ExistUser-APIcheckflow |  |  | undefined
17/02/2023 14:33:36:233  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:APICheckFlow-Begin | Framework | APICheckFlow-Begin |  |  | undefined
17/02/2023 14:33:36:294  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:APICheckFlow-ErrorAnnounce | Framework | APICheckFlow-ErrorAnnounce |  |  | undefined
17/02/2023 14:33:41:986  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:APICheckFlow-returnToDisconnect | Framework | APICheckFlow-returnToDisconnect |  |  | undefined
17/02/2023 14:33:42:049  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:ExistUser-ReturnToExit | Framework | ExistUser-ReturnToExit |  |  | undefined
17/02/2023 14:33:42:113  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:CallDisconnect | Framework | CallDisconnect |  |  | undefined
17/02/2023 14:33:45:731  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:ivrInfoData | Framework | ivrInfoData |  | ^^0^0 | undefined
17/02/2023 14:33:46:339  INFO - Node Entry | session id:sess5450089 | ElibraryFlows:Exit | Framework | Exit |  |  | undefined
17/02/2023 14:33:46:343  INFO - End | session id:sess5450089 | ElibraryFlows:Exit | CallEnd | Call End here |  |  | undefined
17/02/2023 14:33:46:343  INFO - Application Exit | session id:sess5450089 | ElibraryFlows:Exit | Framework | Application Exiting |  |  | undefined
17/02/2023 14:35:13:348  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:Start | Framework | Start |  |  | 
17/02/2023 14:35:13:426  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:Welcome | Framework | Welcome |  |  | undefined
